iter	Passed	Remaining
410	2797	4009
411	2802	3999
412	2805	3987
413	2808	3975
414	2811	3962
415	2818	3956
416	2821	3944
417	2825	3933
418	2827	3920
419	2832	3911
420	2835	3900
421	2839	3889
422	2841	3876
423	2848	3869
424	2851	3857
425	2854	3846
426	2856	3833
427	2861	3824
428	2863	3811
429	2866	3800
430	2869	3788
431	2871	3775
432	2875	3765
433	2878	3753
434	2881	3742
435	2885	3732
436	2887	3719
437	2894	3713
438	2896	3701
439	2900	3691
440	2902	3678
441	2906	3669
442	2909	3658
443	2911	3645
444	2914	3635
445	2916	3622
446	2920	3613
447	2923	3602
448	2926	3591
449	2928	3579
450	2932	3570
451	2935	3559
452	2938	3547
453	2941	3537
454	2943	3525
455	2947	3516
456	2950	3505
457	2953	3494
458	2956	3484
459	2958	3472
460	2963	3464
461	2966	3454
462	2969	3443
463	2971	3432
464	2973	3421
465	2978	3412
466	2982	3403
467	2984	3393
468	2987	3382
469	2989	3371
470	2994	3363
471	2997	3353
472	3000	3342
473	3002	3331
474	3004	3320
475	3009	3313
476	3012	3303
477	3016	3293
478	3018	3282
479	3023	3275
480	3030	3269
481	3032	3259
482	3040	3254
483	3043	3244
484	3046	3234
485	3048	3224
486	3051	3214
487	3054	3204
488	3056	3194
489	3060	3185
490	3062	3174
491	3067	3166
492	3071	3158
493	3073	3148
494	3076	3138
495	3078	3128
496	3084	3121
497	3087	3111
498	3089	3102
499	3091	3091
500	3097	3085
501	3101	3076
502	3105	3068
503	3107	3058
504	3110	3048
505	3115	3041
506	3117	3031
507	3120	3022
508	3123	3013
509	3128	3005
510	3131	2996
511	3134	2987
512	3136	2977
513	3138	2967
514	3145	2962
515	3148	2953
516	3150	2943
517	3153	2933
518	3159	2927
519	3162	2919
520	3165	2910
521	3168	2901
522	3174	2895
523	3177	2886
524	3181	2878
525	3183	2868
526	3189	2862
527	3192	2853
528	3195	2845
529	3197	2835
530	3200	2826
531	3204	2819
532	3207	2809
533	3210	2801
534	3212	2792
535	3215	2783
536	3218	2775
537	3221	2766
538	3224	2757
539	3226	2748
540	3228	2739
541	3233	2732
542	3235	2723
543	3239	2715
544	3241	2706
545	3244	2697
546	3249	2691
547	3253	2683
548	3256	2674
549	3258	2665
550	3262	2658
551	3265	2650
552	3269	2642
553	3271	2633
554	3273	2624
555	3284	2622
556	3287	2614
557	3289	2605
558	3297	2601
559	3302	2595
560	3305	2586
561	3312	2581
562	3317	2574
563	3323	2569
564	3327	2561
565	3331	2554
566	3334	2546
567	3338	2539
568	3342	2532
569	3346	2524
570	3349	2516
571	3356	2511
572	3359	2503
573	3363	2496
574	3371	2491
575	3374	2484
576	3378	2476
577	3387	2473
578	3391	2465
579	3395	2459
580	3403	2454
581	3406	2446
582	3409	2438
583	3419	2435
584	3422	2428
585	3425	2420
586	3434	2416
587	3437	2408
588	3440	2400
589	3445	2394
590	3452	2389
591	3454	2380
592	3456	2372
593	3467	2370
594	3471	2362
595	3473	2354
596	3480	2349
597	3483	2341
598	3486	2334
599	3491	2327
600	3494	2320
601	3498	2312
602	3500	2304
603	3506	2298
604	3509	2291
605	3511	2283
606	3514	2275
607	3517	2267
608	3521	2261
609	3524	2253
610	3526	2245
611	3529	2237
612	3532	2230
613	3536	2223
614	3539	2215
615	3542	2208
616	3544	2200
617	3547	2193
618	3555	2188
619	3558	2180
620	3561	2173
621	3565	2166
622	3569	2160
623	3573	2153
624	3575	2145
625	3577	2137
626	3583	2131
627	3588	2125
628	3590	2118
629	3595	2111
630	3598	2104
631	3601	2097
632	3604	2089
633	3606	2081
634	3608	2073
635	3612	2067
636	3616	2060
637	3618	2053
638	3621	2046
639	3626	2040
640	3630	2033
641	3633	2025
642	3636	2019
643	3641	2013
644	3646	2007
645	3649	1999
646	3652	1992
647	3658	1987
648	3661	1980
649	3663	1972
650	3673	1969
651	3676	1962
652	3679	1955
653	3682	1948
654	3687	1942
655	3691	1936
656	3694	1928
657	3696	1921
658	3700	1914
659	3703	1907
660	3706	1900
661	3708	1893
662	3710	1886
663	3713	1878
664	3719	1873
665	3722	1866
666	3724	1859
667	3727	1852
668	3733	1847
669	3736	1840
670	3741	1834
671	3743	1827
672	3750	1822
673	3761	1819
674	3766	1813
675	3769	1806
676	3772	1799
677	3779	1794
678	3781	1787
679	3784	1781
680	3787	1774
681	3792	1768
682	3799	1763
683	3801	1756
684	3812	1753
685	3815	1746
686	3818	1739
687	3822	1733
688	3826	1727
689	3830	1720
690	3832	1713
691	3834	1706
692	3840	1701
693	3843	1694
694	3845	1687
695	3848	1680
696	3850	1674
697	3854	1667
698	3856	1660
699	3859	1653
700	3862	1647
701	3864	1640
702	3869	1634
703	3871	1627
704	3873	1620
705	3876	1614
706	3879	1607
707	3884	1602
708	3887	1595
709	3889	1588
710	3891	1581
711	3893	1574
712	3898	1569
713	3901	1562
714	3903	1555
715	3905	1549
716	3908	1542
717	3910	1535
718	3914	1530
719	3917	1523
720	3919	1516
721	3921	1510
722	3924	1503
723	3932	1499
724	3935	1492
725	3938	1486
726	3944	1481
727	3947	1474
728	3949	1468
729	3952	1461
730	3953	1455
731	3959	1449
732	3962	1443
733	3968	1438
734	3970	1431
735	3978	1426
736	3980	1420
737	3984	1414
738	3989	1409
739	3993	1403
740	3996	1396
741	3999	1390
742	4003	1384
743	4005	1378
744	4008	1371
745	4010	1365
746	4013	1359
747	4020	1354
748	4023	1348
749	4027	1342
750	4030	1336
751	4037	1331
752	4040	1325
753	4041	1318
754	4044	1312
755	4050	1307
756	4053	1301
757	4056	1295
758	4059	1289
759	4066	1284
760	4069	1278
761	4072	1272
762	4074	1265
763	4078	1259
764	4086	1255
765	4089	1249
766	4092	1243
767	4097	1237
768	4099	1231
769	4103	1225
770	4107	1219
771	4111	1214
772	4113	1207
773	4115	1201
774	4118	1195
775	4123	1190
776	4126	1184
777	4128	1178
778	4130	1171
779	4133	1165
780	4136	1159
781	4141	1154
782	4144	1148
783	4152	1144
784	4156	1138
785	4160	1132
786	4163	1126
787	4169	1121
788	4171	1115
789	4174	1109
790	4176	1103
791	4178	1097
792	4184	1092
793	4186	1086
794	4189	1080
795	4191	1074
796	4193	1068
797	4198	1062
798	4202	1057
799	4204	1051
800	4207	1045
801	4209	1039
802	4214	1033
803	4221	1029
804	4224	1023
805	4230	1018
806	4234	1012
807	4236	1006
808	4240	1001
809	4243	995
810	4246	989
811	4249	983
812	4252	978
813	4256	972
814	4259	966
815	4262	961
816	4265	955
817	4267	949
818	4272	944
819	4274	938
820	4277	932
821	4279	926
822	4282	920
823	4285	915
824	4288	909
825	4291	904
826	4294	898
827	4298	892
828	4306	888
829	4309	882
830	4313	877
831	4318	871
832	4321	866
833	4323	860
834	4327	855
835	4338	851
836	4340	845
837	4343	839
838	4354	835
839	4356	829
840	4365	825
841	4370	820
842	4372	814
843	4374	808
844	4379	803
845	4382	797
846	4385	792
847	4388	786
848	4391	781
849	4396	775
850	4399	770
851	4402	764
852	4410	760
853	4413	754
854	4417	749
855	4422	743
856	4425	738
857	4427	732
858	4430	727
859	4433	721
860	4438	716
861	4440	710
862	4442	705
863	4446	699
864	4454	695
865	4458	689
866	4460	684
867	4463	678
868	4469	673
869	4472	668
870	4477	663
871	4480	657
872	4486	652
873	4490	647
874	4492	641
875	4494	636
876	4501	631
877	4503	625
878	4506	620
879	4508	614
880	4510	609
881	4513	603
882	4517	598
883	4519	593
884	4521	587
885	4523	582
886	4528	576
887	4531	571
888	4534	566
889	4536	560
890	4539	555
891	4544	550
892	4547	544
893	4550	539
894	4552	534
895	4556	528
896	4560	523
897	4563	518
898	4566	513
899	4568	507
900	4573	502
901	4575	497
902	4578	491
903	4580	486
904	4584	481
905	4589	476
906	4592	470
907	4595	465
908	4597	460
909	4601	455
910	4605	449
911	4607	444
912	4609	439
913	4611	433
914	4616	428
915	4619	423
916	4621	418
917	4625	413
918	4627	407
919	4631	402
920	4634	397
921	4637	392
922	4643	387
923	4646	382
924	4648	376
925	4651	371
926	4653	366
927	4658	361
928	4660	356
929	4662	350
930	4666	345
931	4668	340
932	4672	335
933	4675	330
934	4678	325
935	4681	320
936	4683	314
937	4827	319
938	4839	314
939	4845	309
940	4855	304
941	4886	300
942	4891	295
943	4895	290
944	4900	285
945	4905	279
946	4908	274
947	4914	269
948	4920	264
949	4941	260
950	4947	254
951	4954	249
952	4960	244
953	4966	239
954	4972	234
955	4980	229
956	4984	223
957	4987	218
958	4992	213
959	4995	208
960	5003	203
961	5008	197
962	5011	192
963	5014	187
964	5017	181
965	5022	176
966	5028	171
967	5031	166
968	5038	161
969	5044	156
970	5046	150
971	5051	145
972	5057	140
973	5061	135
974	5068	129
975	5073	124
976	5076	119
977	5081	114
978	5086	109
979	5090	103
980	5092	98
981	5099	93
982	5104	88
983	5107	83
984	5112	77
985	5117	72
986	5121	67
987	5125	62
988	5129	57
989	5134	51
990	5136	46
991	5139	41
992	5144	36
993	5149	31
994	5152	25
995	5161	20
996	5165	15
997	5167	10
998	5172	5
999	5177	0
